2024-05-23 22:20:51 eoracle-data-validator  | Starting data-validator 
2024-05-23 22:20:53 eoracle-data-validator  | <1> 2024-05-23T16:50:53.986Z info: Retriveing Eoracle configuration from EOConfig contract
2024-05-23 22:21:02 eoracle-data-validator  | <1> 2024-05-23T16:51:02.484Z info: ~~~~~7.  ccdata~~~~~btc,eth,xrp,ada,fil,doge,sol,trx,dot,matic,ltc,xau,xag,eur,aud,jpy,gbp
2024-05-23 22:21:02 eoracle-data-validator  | <1> 2024-05-23T16:51:02.486Z info: ~~~~~6.  bitfinex~~~~~btc,eth,xrp,ada,doge,sol,trx,dot,matic,ltc,avax,link,ton,icp,shib,uni,eos,leo,op,near,apt,neo,ldo,fil
2024-05-23 22:21:02 eoracle-data-validator  | <1> 2024-05-23T16:51:02.488Z info: ~~~~~3.  kraken~~~~~btc,eth,xrp,ada,bnb,doge,sol,trx,dot,matic,ltc
2024-05-23 22:21:02 eoracle-data-validator  | <1> 2024-05-23T16:51:02.489Z info: ~~~~~4.  houbi~~~~~btc,eth,xrp,ada,doge,sol,trx,dot,matic,ltc,usdt,avax,link,ton,icp,shib,bch,uni,eos,atom,leo,op,near,apt,neo,stx,kas,ldo,fil,xau,xag,eur,aud,jpy,gbp
2024-05-23 22:21:02 eoracle-data-validator  | <1> 2024-05-23T16:51:02.490Z info: ~~~~~5.  coinbase~~~~~btc,eth,xrp,ada,doge,sol,dot,matic,ltc,usdt,avax,link,icp,shib,bch,uni,eos,atom,op,near,apt,stx,ldo,fil,xau,xag,eur,aud,jpy,gbp,cad,inr,krw,brl
2024-05-23 22:21:02 eoracle-data-validator  | <1> 2024-05-23T16:51:02.491Z info: ~~~~~8.  ethereum~~~~~sFRAX,sfrxETH
2024-05-23 22:21:02 eoracle-data-validator  | <1> 2024-05-23T16:51:02.498Z info: EO_CCDATA_API_KEY is not set in .env file, for ccdata feed support: please refer to our support team
2024-05-23 22:21:02 eoracle-data-validator  | <1> 2024-05-23T16:51:02.501Z info: Starting quotes listener
2024-05-23 22:21:02 eoracle-data-validator  | <1> 2024-05-23T16:51:02.502Z info: starting bitfinex feed
2024-05-23 22:21:02 eoracle-data-validator  | <1> 2024-05-23T16:51:02.523Z info: starting kraken feed
2024-05-23 22:21:02 eoracle-data-validator  | <1> 2024-05-23T16:51:02.540Z info: starting houbi feed
2024-05-23 22:21:02 eoracle-data-validator  | <1> 2024-05-23T16:51:02.554Z info: starting coinbase feed
2024-05-23 22:21:02 eoracle-data-validator  | <1> 2024-05-23T16:51:02.571Z info: Starting ethereum feed
2024-05-23 22:21:02 eoracle-data-validator  | <1> 2024-05-23T16:51:02.573Z info: Finished initializing ethereum feed
2024-05-23 22:21:02 eoracle-data-validator  | JsonRpcProvider failed to detect network and cannot start up; retry in 1s (perhaps the URL is wrong or the node is not started)
